code,name,six_dim_score,change_pct,volume_ratio,close,six_dim_details,open,high,low,volume,turnover,ma5,ma10,ma20,rsi_6,bias_20,is_yang,body_ratio,upper_shadow_ratio,lower_shadow_ratio,close_position,amplitude
002104,恒宝股份,6,1.3259655583425793,1.4478156683214005,18.34000015258789,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '🟡 阳线 (+1)', '量能': '🟡 温和放量 量比1.45 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中3.8% (+1)', '尾盘': '🟡 收于中上72% (+1)'}",18.06999969482422,18.530000686645508,17.850000381469727,30414154.0,557795589.0008316,18.021999740600585,18.005999755859374,18.55950002670288,76.92301243127794,-1.182682043154076,True,39.7059318515859,27.9412424687812,32.35282567963289,72.0587575312188,3.7569076842227394
002531,天顺风能,6,3.4762478187324843,0.9545448921780917,8.930000305175781,"{'趋势': '✅ 多头排列 (+2)', 'K线': '🟡 阳线 (+1)', '量能': '❌ 缩量 量比0.95 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中7.2% (+1)', '尾盘': '🟡 收于中上66% (+1)'}",8.5600004196167,9.140000343322754,8.520000457763672,77708636.0,693938143.1947937,8.586000156402587,8.049000072479249,7.655000042915344,90.39547839955172,16.655783868224034,True,59.67741191200968,33.870980146650524,6.451607941339789,66.12901985334946,7.184239598347303
002527,新时达,6,3.422533633191807,1.3326808430395178,16.6200008392334,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '🟡 阳线 (+1)', '量能': '🟡 温和放量 量比1.33 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中7.0% (+1)', '尾盘': '🟡 收于中上67% (+1)'}",15.970000267028809,16.989999771118164,15.859999656677246,23248427.0,386388876.2508564,16.29000015258789,16.45599994659424,16.792999935150146,63.40205678779298,-1.030185771362004,True,57.52216870581345,32.74326499230731,9.734566301879246,67.2567350076927,7.031737000000475
002545,东方铁塔,6,4.538340655905569,0.9556176610156867,26.719999313354492,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '✅ 强势阳线 (+2)', '量能': '❌ 缩量 量比0.96 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅9.3% (0)', '尾盘': '✅ 收于高位82% (+2)'}",25.100000381469727,27.149999618530273,24.770000457763672,22601337.0,603907709.1208935,26.131999588012697,27.145999908447266,25.461000061035158,41.64178811300951,4.944814615691682,True,68.06720601376016,18.067246084123724,13.865547902116116,81.93275391587628,9.311421011326114
300485,赛升药业,6,3.36977098960825,2.3400895228998206,11.350000381469727,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '🟡 阳线 (+1)', '量能': '✅ 放量上涨 量比2.34 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中5.7% (+1)', '尾盘': '❌ 收于低位33% (0)'}",11.180000305175781,11.770000457763672,11.140000343322754,15241143.0,172986978.86403465,11.053999900817871,11.281999874114991,11.406999921798706,59.80395456772393,-0.49968914455810043,True,26.984134192548325,66.66666666666666,6.34919914078501,33.33333333333333,5.7377061995086756
300464,星徽股份,6,0.14771386868552616,0.8788071318509109,6.78000020980835,"{'趋势': '✅ 多头排列 (+2)', 'K线': '🟡 阳线 (+1)', '量能': '❌ 缩量 量比0.88 (0)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中4.7% (+1)', '尾盘': '🟡 收于中上69% (+1)'}",6.699999809265137,6.880000114440918,6.559999942779541,13293500.0,90129932.7890873,6.760000133514405,6.743000078201294,6.639000034332275,52.777766739913936,2.1238164595107705,True,25.000111758649002,31.24995343389625,43.74993480745475,68.75004656610375,4.726738147162935
300504,天邑股份,6,1.0767214319182736,1.2450747194837777,15.020000457763672,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '🟡 阳线 (+1)', '量能': '🟡 温和放量 量比1.25 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中4.2% (+1)', '尾盘': '🟡 收于中上61% (+1)'}",14.739999771118164,15.260000228881836,14.640000343322754,5146100.0,77294424.35569763,14.803999900817871,14.7689998626709,15.111499929428101,85.18512413625024,-0.6054956297636822,True,45.16140940784505,38.70964764803874,16.12894294411621,61.29035235196126,4.172273888852272
300468,四方精创,6,1.5169605961729802,1.420869002547454,34.130001068115234,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '🟡 阳线 (+1)', '量能': '🟡 温和放量 量比1.42 (+1)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '✅ 振幅适中5.8% (+1)', '尾盘': '🟡 收于中上60% (+1)'}",33.0,34.90999984741211,32.959999084472656,37098431.0,1266169489.6553993,33.060000610351565,32.851000213623045,34.20150012969971,75.46581937770702,-0.2090524138220111,True,57.948750051351674,39.9999217498303,2.051328198818031,60.00007825016971,5.800121430373093
300479,神思电子,6,3.6207729260082298,1.5710886476993693,21.75,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '🟡 阳线 (+1)', '量能': '✅ 放量上涨 量比1.57 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅9.1% (0)', '尾盘': '🟡 收于中上61% (+1)'}",20.850000381469727,22.5,20.59000015258789,20126992.0,437762076.0,21.038000106811523,20.71500015258789,20.903999996185302,80.15563076100993,4.047072349641607,True,47.12040264032994,39.26701884380711,13.61257851586295,60.73298115619289,9.099570596662094
300539,横河精密,6,4.898954322095238,2.143007274514973,34.2599983215332,"{'趋势': '🟡 站上MA5 (+1)', 'K线': '🟡 阳线 (+1)', '量能': '✅ 放量上涨 量比2.14 (+2)', '分时': '✅ 收盘高于开盘 (+1)', '盘口': '❌ 振幅8.8% (0)', '尾盘': '🟡 收于中上68% (+1)'}",32.45000076293945,35.18000030517578,32.31999969482422,9624880.0,329748372.6449585,33.119999694824216,33.9560001373291,36.375000190734866,59.004708704821425,-5.8144380979010375,True,63.286614416884966,32.16789466102554,4.545490922089494,67.83210533897446,8.75689107077011
